product_id,title,category,price_usd,rating,reviews,url,description
31,Packard 255 G2,laptops,416.99,2,2,https://webscraper.io/test-sites/e-commerce/static/product/31,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1"
32,Aspire E1-510,laptops,306.99,3,2,https://webscraper.io/test-sites/e-commerce/static/product/32,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux"
33,ThinkPad T540p,laptops,1178.99,1,2,https://webscraper.io/test-sites/e-commerce/static/product/33,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit"
34,ProBook,laptops,739.99,4,8,https://webscraper.io/test-sites/e-commerce/static/product/34,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit"
35,ThinkPad X240,laptops,1311.99,3,12,https://webscraper.io/test-sites/e-commerce/static/product/35,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
36,Aspire E1-572G,laptops,581.99,1,2,https://webscraper.io/test-sites/e-commerce/static/product/36,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1"
37,ThinkPad Yoga,laptops,1033.99,2,13,https://webscraper.io/test-sites/e-commerce/static/product/37,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,"
38,Pavilion,laptops,609.99,1,4,https://webscraper.io/test-sites/e-commerce/static/product/38,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1"
39,Inspiron 15,laptops,745.99,3,12,https://webscraper.io/test-sites/e-commerce/static/product/39,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,"
40,Dell XPS 13,laptops,1281.99,3,4,https://webscraper.io/test-sites/e-commerce/static/product/40,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1"
41,ThinkPad X230,laptops,1244.99,3,10,https://webscraper.io/test-sites/e-commerce/static/product/41,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit"
42,HP 250 G3,laptops,520.99,2,13,https://webscraper.io/test-sites/e-commerce/static/product/42,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1"
43,ThinkPad Yoga,laptops,1223.99,3,2,https://webscraper.io/test-sites/e-commerce/static/product/43,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows"
44,HP 350 G1,laptops,577.99,2,10,https://webscraper.io/test-sites/e-commerce/static/product/44,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows"
45,Asus VivoBook Max,laptops,399.0,1,4,https://webscraper.io/test-sites/e-commerce/static/product/45,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home"
